"date","djia","ftse"
2001-11-27,9872.6,5266
2001-11-28,9711.86,5205.2
2001-11-29,9829.42,5208.5
2001-11-30,9851.56,5203.6
2001-12-03,9763.96,5164.6
2001-12-04,9893.84,5212.1
2001-12-05,10114.29,5333.5
2001-12-06,10099.14,5369.8
2001-12-07,10049.46,5264.7
2001-12-10,9921.45,5185
2001-12-11,9888.37,5160.8
2001-12-12,9894.81,5120
2001-12-13,9766.45,5074.9
2001-12-14,9811.15,5061
2001-12-17,9891.97,5136.3
2001-12-18,9998.39,5151.1
2001-12-19,10070.49,5120.6
2001-12-20,9985.18,5080.2
2001-12-21,10035.34,5159.2
2001-12-24,10035.34,5177.4
2001-12-27,10131.31,5213.2
2001-12-28,10136.99,5242.4
2001-12-31,10021.57,5217.4
2002-01-02,10073.4,5218.3
2002-01-03,10172.14,5318.8
2002-01-04,10259.74,5323.8
2002-01-07,10197.05,5293.6
2002-01-08,10150.55,5250.4
2002-01-09,10094.09,5228.5
2002-01-10,10067.86,5190.7
2002-01-11,9987.53,5198.6
2002-01-14,9891.42,5113.5
2002-01-15,9924.15,5166
2002-01-16,9712.27,5127.6
2002-01-17,9850.04,5138.4
2002-01-18,9771.85,5126.8
2002-01-22,9713.8,5149.2
2002-01-23,9730.96,5180.6
2002-01-24,9796.07,5233.1
2002-01-25,9840.08,5193
2002-01-28,9865.75,5223.6
2002-01-29,9618.24,5131.4
2002-01-30,9762.86,5089.3
2002-01-31,9920,5164.8
2002-02-01,9907.26,5189.7
2002-02-04,9687.09,5167.3
2002-02-05,9685.43,5093.4
2002-02-06,9653.39,5073.8
2002-02-07,9625.44,5127
2002-02-08,9744.24,5128.1
2002-02-11,9884.78,5161.8
2002-02-12,9863.74,5135.7
2002-02-13,9989.67,5153.9
2002-02-14,10001.99,5208.7
2002-02-15,9903.04,5182.5
2002-02-19,9745.14,5092.5
2002-02-20,9941.17,5024.1
2002-02-21,9834.68,5073.3
2002-02-22,9968.15,5050.8
2002-02-25,10145.71,5100.7
2002-02-26,10115.26,5139
2002-02-27,10127.58,5178.4
2002-02-28,10106.13,5101
2002-03-01,10368.86,5169
2002-03-04,10586.82,5242
2002-03-05,10433.41,5214
2002-03-06,10574.29,5245.5
2002-03-07,10525.37,5282.1
2002-03-08,10572.49,5285.7
2002-03-11,10611.24,5258.9
2002-03-12,10632.35,5252.5
2002-03-13,10501.85,5272
2002-03-14,10517.14,5261.4
2002-03-15,10607.23,5292.7
2002-03-18,10577.75,5299.9
2002-03-19,10635.25,5316.1
2002-03-20,10501.57,5266.9
2002-03-21,10479.84,5253.3
2002-03-22,10427.67,5250.5
2002-03-25,10281.67,5203.6
2002-03-26,10353.36,5195.5
2002-03-27,10426.91,5214.7
2002-03-28,10403.94,5271.8
2002-04-02,10313.71,5251.4
2002-04-03,10198.29,5247.8
2002-04-04,10235.17,5209.5
2002-04-05,10271.64,5233.6
2002-04-08,10249.08,5178.6
2002-04-09,10208.67,5179.6
2002-04-10,10381.73,5229.1
2002-04-11,10176.08,5137.4
2002-04-12,10190.82,5161
2002-04-15,10093.67,5201.4
2002-04-16,10301.32,5259.9
2002-04-17,10220.78,5263.9
2002-04-18,10205.28,5229.4
2002-04-19,10257.11,5243.6
2002-04-22,10136.43,5221.5
2002-04-23,10089.24,5191
2002-04-24,10030.43,5218.2
2002-04-25,10035.06,5197.5
2002-04-26,9910.72,5159
2002-04-29,9819.87,5153.9
2002-04-30,9946.22,5165.6
2002-05-01,10059.63,5125.5
2002-05-02,10091.87,5174.1
2002-05-03,10006.63,5203.1
2002-05-07,9836.55,5119.9
2002-05-08,10141.83,5209.1
